#separator:Semicolon
#html:false
#deck column:
#columns:Front;Back
nom;der Name-n
loyer et charges;die Warmmiete-n
caution;die Kaution-en
situation (position);die Lage-n
agent (immmobilier);der Makler-, die Maklerin-nen
coûts additionnels;(pl.) Nebenkosten
étage;das Obergeschoss-e
étage (1er, etc.);der Stock-″e
commission (charge);die Provision-en
banlieue;der Vorort-e
bureau du logement;das Wohnungsamt-″er
"aide financière pour le paiement du loyer (""allocation de logement"")";das Wohngeld-er
donner son congé (terminaison de contrat);kündigen
rénover;renovieren
ascenseur;der Fahrstuhl-″e
ascenseur;der Aufzug-″e
vêtement;die Kleidung-en
habillement;die Bekleidung-en
ceintre;der Bügel-
tache;der Fleck-e
bouton de vêtement;der Knopf-″e
lacer les chaussures;die Schuhe schnüren
pantalon;die Hose-n
short;(pl.) Shorts
chaussure;der Schuh-e
chaussette;die Socke-n
collant;die Strumpfhose-n
botte;der Stiefel-
sandale;die Sandale-n
baskets;der Sportschuh-e
ceinture;der Gürtel-
chemise;das Hemd-en
tshirt;das T-shirt-s
robe;das Kleid-er
jupe;der Rock-″e
manteau;der Mantel-″
parapluie;der Regenschirm-e
hoodie;der Hoodie-s
sweatshirt;das Sweatshirt-s
pull;der Pullover-
collier;die Halskette-n
bijou;der Schmuck-e
chaine;die Kette-n
anneau;der Ring-e
pullover;der Pulli-s
boucle d'oreille;der Ohrring-e
"habit (“fringues"")";die Klamotte-n
bague;der Ring-e
montre, horloge;die Uhr-en
montre-bracelet;die Armbanduhr-en
bracelet;das Armband-″er
chapeau;der Hut-″e
casquette;die Mütze-n
rayé (motif);gestreift
motif à pois;das Punktmuster-
à carreaux;kariert
motif;das Muster-
jeans;die Jeans-
élégant (chic);schick
pijama;das/der Pyjama-s
porter (habit);tragen (ä-u-a)
lunettes;die Brille-n
lunettes de soleil;die Sonnenbrille-n
porter (lunettes, chapeau);haben (auf)
environnement;die Umwelt-en
climat;das Klima-ta
temps (météo);das Wetter-
vague (masse de fluide);die Welle-n
planète;der Planet-en
la terre (planète);die Erde-n
terre, sol;die Erde-n
sol (parterre);der Grund-″e
sable;der Sand-e
sauvage;wild
rocher;der Fels-en
caillou;der Stein-e
boue;der Match
froid;kalt
chaud;warm
chaud brûlant;heiß
nuageux;bewölkt
ensoleillé;sonnig
briller (emmettre de la lumière);scheinen (ie-ie)
briller, luire;glühen
pluie;der Regen
pleuvoir;regnen
neige;der Schnee
neiger;schneien
grêle;der Hagel-
lune;der Mond-e
soleil;die Sonne
ombre;der Schatten-
grêler;hageln
brumeux;nebelig
brume;der Nebel-
montagne;der Berg-e
colline;der Hügel-
prairie;die Wiese-n
ruisseau;der Bach-″e
rivière;der Fluss-″e
désert (endroit);die Wüste-n
source;die Quelle-n
grotte;die Höhle-n
flocon de neige;die Schneeflocke-n
ciel;der Himmel-
étoile;der Stern-e
vallée;das Tal-″er
vent;der Wind-e
air (gaz);die Luft-″e
liquide, fluide (substance);die Flüssigkeit-en
résistant, visqueux;zäh
feu;das Feuer-
glace (eau gelée);das Eis-e
nuage;die Wolke-n
goutte (objet liquide);der Tropfen-
nature (l'environnement naturel);die Natur-e
déchet, poubelle (à jeter);der Müll
déchet (reste);der Abfall-″e
ranger;auf-räumen
recycler;recyceln, wieder-verwerten
recyclage;das Recycling, die Wiederverwertung
corbeille à papier;der Papierkorb-″e
papier;das Papier-e
carton;der Karton-e
métal;das Metall-e
verre (matériau);das Glas-″er
plastique (matériau);der Kunststoff-e
matériau mélangés;der Verbundstoff-e
trier (déchets);trennen
papier à recycler;das Altpapier-e
poubelle (conteneur cylindrique);die Tonne-n
(sac jaune);der gelb(e) Sack-″e
poussière;der Staub-″e
benne (à ordure);der Müllcontainer-
déchets organiques;der Biomüll
détritus non recyclables;der Restmüll
collecte des ordures;die Müllabfuhr-en
écologique;ökologisch
protection de l'environnement;der Umweltschutz
description;die Beschreibung-en
décrire;beschreiben (ie-ie)
représenter (de façon graphique);dar-stellen
représentation (graphique);die Darstellung-en
paysage;die Landschaft-en
situation;die Situation-en
atmosphère (psy);die Stimmung-en
comparaison;der Vergleich-e
en comparaison;im Vergleich
il me semble;es scheint mir
sembler;aus-sehen (ie-a-e), scheinen (ie-ie)
avant plan;der Vordergrund-″e
arrière plan;der Hintergrund-″e
milieu (centre);die Mitte-n
au milieu;in der Mitte
à droite;rechts
à gauche;links
devant (adv.);vorne
derrière (adv.);hinten
c'est different;es ist anders (als)
en particulier;besonders
expérience (vécue);die Erfahrung-en
faire l'expérience, obtenir de l'expérience;erfahren (ä-u-a)
faire l'expérience, vivre;erleben
vie de tout les jours;der Alltag
typique;typisch 
normal, ordinaire;gewöhnlich
normal;normal
inhabituel;ungewöhnlich
étrange;seltsam
exceptionnel;außergewöhnlich
remarquable;merkwürdig
rare;selten
régulier (suivant la règle);regelmäßig
surprenant;überraschend
surprendre;überraschen
surprise;die Überraschung-en
incroyable;wahnsinnig
vivre;leben
humeur;die Laune-n
blague;der Witz-e
rage, colère;die Wut
colère (contre quelquechose considéré comme injuste ou contraire à sa volonté);der Zorn
en colère;wütend
faché, amer;sauer
énervé;verärgert
ennuyé, énervé;genervt
passion, ardeur;die Leidenschaft-en
jaloux;eifersüchtig
jalousie;die Eifersucht
reprocher;vor-werfen (i-a-o)
grossier;grob
aimer;lieben
aimer (quelquechose), bien aimer;mögen (a-och-och)
sourire (verbe);lächeln
déguster, jouir, bénéficier;genießen (o-o)
rire;lachen
comportement;das Verhalten-
larme, pleur;die Träne-n
pleurer;weinen
souffrir;leiden (itt-itt)
terrible, affreux;schrecklich
beau;schön
joli;hübsch
gentil;nett
fier (adj.);stolz
heureux;froh
laid;hässlich
joyeux;fröhlich
souci, préoccupation;die Sorge-n
s'inquiéter;sich sorgen
heureux;glücklich
relaxé;entspannt
intéressé;interessiert
être intéressé par;sich interessieren (für)
enthousiasmé;begeistert
fasciner;faszinieren
triste;traurig
content;zufrieden
stressé;gestresst
ennuyé (qui s'ennuie);gelangweilt
pensif;nachdenklich
déprimé;deprimiert
malheureux;unglücklich
mécontent;unzufrieden
excité;aufgeregt
tendu;gespannt
calme, sans excitation;ruhig
impulsion;der Impuls-e
honte (sentiment);die Scham
honte (objet);die Schande
plaisant;angenehm
plaisir, amusement;der Spaß-″e an+D
drôle, amusant;lustig
drôle, bizarre;komisch
personnel;persönlich
géner (émotion);unangenehm sein
déplaisant;unangenehm
humilier;demütigen
dommage;schade
malheureusement;leider
décevoir (ne pas être à la hauteur);enttäuschen
espérer;hoffen
sérieux;ernst
crier;schreien (ie-geschrien)
ressentir, sentir;fühlen
être dans un état émotionnel;sich fühlen
se réjouir;sich freuen
exciter;auf-regen
énerver;nerven
peur (émotion);die Angst-″e
avoir peur (émotion);Angst haben (vor+D)
malgrès tout;trotzdem
en outre, de plus;ferner
pourtant;dennoch
pourtant;jedoch
en même temps;gleichzeitig
lier, combiner;verknüpfen
négliger;vernachlässigen
probable, vraisemblable;wahrscheinlich
nécessaire;notwendig
prémisse;die Voraussetzung-en
diagramme;das Diagramm-e
symbolique;symbolisch
esquisser;skizzieren
comparer;vergleichen
dans le sens où/que;in dem Sinne, dass
avis;die Ansicht-en
avantage;der Vorteil-e
vérité;die Wahrheit-en
mensonge;die Lüge-n
conscient, réfléchi;bewusst
c'est exact;das stimmt
exception;die Ausnahme-n
relation (lien, rapport);die Beziehung-en
réfléchir;nach-denken (ach-ach)
comprendre;greifen (if-if)
paraître, sembler;vor-kommen (a-o)
défaut, inconvénient;der Nachteil-e
savoir;wissen (ei-u-u)
prendre connaissance de;erfahren (ä-u-a)
se rendre compte;merken
connaître;kennen (a-a)
contradiction (incompatibilité logique);der Widerspruch-″e
contradiction (action de contredire);der Widerspruch-″e
réel, véritable;wirklich
vrai, véritable;wahr
faux, erroné;falsch
vérifier, examiner;überprüfen
sûrement;sicherlich
valeur (caractère intrinsèque désirable);der Wert-e
s'opposer, resister;sich widersetzen (+D)
peut-être;vielleicht
cause;die Ursache-n
possiblement;möglicherweise
supposemment;vermutlich
présumer;vermuten
suspecter;verdächtigen
être de l'avis;meinen
incertain;unsicher
convaincu;überzeugt
douter;zweifeln (an+D)
défendre, justifier;verteidigen
justifier;rechtfertigen
concerner, porter sur;betreffen (+A) (i-a-o)
considérer (comme);halten (für, als) (ä-ie-a)
trouver (opinion);finden (a-u)
impression;der Eindruck-″e
avoir l'impression;den Eindruck haben
selon moi;meiner Meinung nach
opinion;die Meinung-en
croire;glauben
il se pourrait;es könnte sein
faire l’hypothèse;an-nehmen (im-ah-om)
supposer;vermuten
s’étonner;sich wundern (über)
celà m’étonne;es wundert mich
précisément;genauso (wie)
idée;die Idee-n, die Ahnung-en
oublier;vergessen (i-a-e)
se souvenir;sich erinnern (an+A)
clair (visible);klar
penser;denken (ach-ach)
confus (désorienté);verwirrt
confondre, dérouter;verwirren
sens, signification;der Sinn-e
évident, naturel;selbstverständlich
faculté de comprendre;das Verständnis-se
sensé, rationnel;sinnvoll
absurde;sinnlos
venir à l'esprit;ein-fallen (+D) (ä-ie-a)
important;wichtig
sans importance;egal
cas;der Fall-″e
craindre (rationnellement);fürchten
faire attention;auf-passen (auf+A)
imaginer, se représenter;sich vor-stellen
sûr;sicher
s’attendre;erwarten
intéressant;interessant
super;super, toll
être valable;gelten (i-a-o)
super;hammer
excellent;hervorragend
bon;gut
indépendant (sans rapport avec);unabhängig
super (de première classe);prima
prévoir, prédire;vorher-sagen
plan (projet);der Plan-″e
planifier;planen
dépendre de;ab-hängen (von)
reconnaitre, identifier;erkennen (a-a)
comprendre;verstehen (and-and)
ignorer (délibérement);ignorieren
raisonnable;vernünftig
estimer (évaluer);schätzen
sousestimer;unterschätzen, unterbewerten
surestimer;überschätzen
remarquer, noter, se rendre compte;bemerken
évident, apparent;offensichtlich
manifeste, évident;offenbar
voyager;reisen
voyage;die Reise-n
moyen de transport;das Verkehrsmittel-
transport public;das öffentliche Verkehrsmittel-
logement transitoire (hotel, etc);die Unterkunft-″e
bagage;das Gepäck-e
sac à dos;der Rucksack-″e
départ;die Abfahrt-en
partir (départ);ab-fahren (ä-u-a)
arriver;an-kommen (a-o)
arrivée;die Ankunft-″e
avion;das Flugzeug-e
vol (avion);der Flug-″e
aéroport;der Flughafen-″
gare;der Bahnhof-″e
train;der Zug-″e
wagon;der Wagen-″
voie (de chemin de fer);der Gleis-e
porte d'embarquement;das Gate-s
papier d'identité;der Ausweis-e
visiter (tourisme);besichtigen
tourisme;der Tourismus
réserver;buchen
bus;der Bus-se
ligne (de bus);die Linie-n
camping;das Camping
lieu de rassemblement, campement;das Lager-″
étranger (adj.);fremd
language étrangère;die Fremdsprache-n
hotel;das Hotel-s
sites d'intérêt;die Sehenswürdigkeit-en
musée;das Museum-/en
guide (tourisme);der Reiseführer-, die Reiseführerin-nen
passeport;der Reisepass-″e
plage;der Strand-″e
fuseau horaire;die Zeitzone-n
tente;das Zelt-e
arrêt de bus;die Bushaltestelle-n
terminus;die Endstation-en
monter (train etc);ein-steigen (ie-ie)
changer (de train);um-steigen (ie-ie)
descendre (train etc);aus-steigen (ie-ie)
voiture;das Auto-s
pneu;der Reifen-
traffic;der Verkehr-e
bouchon (traffic);der Stau-s
autoroute;die Autobahn-en
route, voie;die Bahn-en
chemin de fer;die Bahn-en
plateforme (gare);der Bahnsteig-e
ferry;die Fähre-n
bateau, barque;das Boot-e
bateau, navire;der Schiff-e
ticket (titre de transport);die Fahrkarte-n
véhicule (transport);das Fahrzeug-e
permis de conduire;der Führeschein-e
arrêt (de bus);die Haltestelle-n
ICE (tgv allemand);der ICE-s (Intercity-Express)
véhicule à moteur;das Kraftfahrzeug-e
camion, poid lourd (familier);der Laster-
camion;der Lastkraftwagen-″, der LKW-s
moto;das Motorrad-″er
parking (bâtiment);das Parkhaus-″er
véhicule personel;der Personalkraftwagen-″, der PKW-s
agence de voyage;das Reisebüro-s
retour (voyage);die Rückfahrt-en
partir, commencer à voyager;los-fahren (ä-u-a), weg-fahren (ä-u-a)
aller/venir chercher;ab-holen
être en mouvement;sich bewegen
s'arrêter, être immobile;an-halten (ä-ie-a) (haben)
emporter (porter quelquechose);mit-nehmen (im-ah-om)
se garer;parken
atterrir;landen
transporter;transportieren
rester;bleiben (ie-ie)
rester en arrière, ne pas accompagner;zurück-bleiben (ie-ie)
tourner (qqchose);wenden
vers le haut (adv.);aufwärts
vers le bas (adv.);abwärts
en avant (adv.);vorwärts
en arrière (adv.);rückwärts
en haut;oben
en bas;unten
tout droit;geradeaus
accessible;erreichbar
pressé, urgent;eilig
manger;essen (i-a-e)
soupe;die Suppe-n
boire;trinken (a-u)
nourriture, repas;das Essen
repas;die Mahlzeit-en
plat (aliment);die Speise-n
boisson;das Getränk-e
café (boisson);der Kaffee
établissement gastronomique;der Lokal-e
café (endroit);das Café-s
bistro;die Kneipe-n
restaurant;das Restaurant-s
menu (carte);die Speisekarte-n
acheter;kaufen
vendre;verkaufen
faire les courses;ein-kaufen
magasin;das Geschäft-e
magasin (endroit);der Laden-″
prix;der Preis-e
habit;die Kleindung-en
commerce (achat et vente de biens);der Handel-″
emballage;die Packung-en
louer (mettre à disposition en échange d'argent);vermieten
louer (payer pour utiliser);mieten
emprunter;leihen (ie-ie)
donner;geben (i-a-e)
prêter;leihen (ie-ie)
recevoir, obtenir;bekommen (a-o)
recevoir;erhalten (ä-ie-a)
obtenir (après un effort ou une attente);erlangen
recevoir (invité, cadeau);empfangen (ä-i-a)
coûter;kosten
caisse;die Kasse-n
reçu;der Beleg-e
payer;bezahlen
paiement;die Bezahlung-en
revenu (argent);das Einkommen-
rabat;der Rabatt-e
publicité;die Werbung-en
monnaie (pièces & billets);das Bargeld-er
pièce de monnaie;die Münze-n
argent (monnaie);das Geld-er
riche;reich
pauvre;arm
pauvreté;die Armut
billet de banque;der Geldschein-e
taxe, frais;die Gebühr-en
salaire, récompense;der Lohn-″e
trésor;der Schatz-″e
cher (prix);teuer
gratuit;frei
gratuitement;umsonst
pas cher (prix);billig
département (division);die Abteilung-en
articles pour la maison;die Haushaltware-n
offre (produits disponibles);das Angebot-e
zone piétonne;die Fußgängerzone-n
ticket de caisse;der Kassenbeleg-e
grand magasin;das Kaufhaus-″er
denrées alimentaires;das Lebensmittel-
marque (TM);die Marke-n
facture;die Rechnung-en
vitrine;das Schaufenster-
fournitures de bureau;(pl.) Schreibwaren
offre spéciale;das Sonderangebot-e
marché hebdomadaire;der Wochenmarkt-″e
qualité;die Qualität-en
reçu, quittance;die Quittung-en
commander (acheter);bestellen
se charger de, procurer;besorgen
échanger (achat);um-tauschen
rendre, restituer;zurück-geben (i-a-e)
de bon rapport qualité-prix;preiswert
regarder (chercher);um-schauen
annonce (petite annonce);die Anzeige-n
virement permanent;der Dauerauftrag-″e
distributeur automatique de billets;der Geldautomat-en
compte courrant;das Girokonto-/en
relevé de compte;der Kontoauszug-″e
transfer bancaire;die Überweisung-en
intérêt (bancaire);der Zins-en
transférer (banque);überweisen (ie-ie)
effectuer un retrait d’argent;ab-heben (o-o)
telecommunication;die Telekommunikation-en
poste (courier);die Post-en
c'est-à-dire;das heißt
rapporter, annoncer, signaler, déclarer;melden
lettre (message écrit);der Brief-e
enveloppe (de lettre);der Umschlag-″e
déclarer;an-geben (i-a-e)
stylo, crayon;der Stift-e
crayon;der Bleistift-e
gomme (pour effacer);das Gummi-s
admettre, avouer;zu-geben (i-a-e)
livrer (collis);liefern
annoncer;an-kündigen
envoyer, expédier;schicken
envoyer, diffuser;senden
téléphone;das Telefon-e
internet;das Internet
connection;die Verbindung-en
téléphone portable;das Handy-s
radio (appareil);der Radio-s
journal;die Zeitung-en
presse (journaux & magasines);die Presse
émission (de tv, radio);die Sendung-en
magazine, revue;die Zeitschrift-en
série (tv);die Serie-n
radio (diffusion);der Rundfunk
page;die Seite-n
feuille (page);das Blatt-″er
ligne (texte);die Zeile-n
texte;der Text-e
phrase;der Satz-″e
lettre (alphabet);der Buchstabe-n
épeler;buchstabieren
symbole, caractère, signe;das Zeichen-
dictionnaire;das Wörterbuch-″er
instruction (ordre);die Anweisung-en
section, paragraphe;der Abschnitt-e
parenthèse, crochet;die Klammer-n
marquer;markieren
noter (faire une note);auf-schreiben (ie-ie)
article;der Artikel-
annonce (radio ou haut-parleur);die Durchsage-n
détail;die Einzelheit-en
email;die E-Mail-s
sujet (d'une lettre, d'un email);der Betreff-e
conseil, indication, indice;der Hinweis-e
nouvelle, information;die Nachricht-en
titre, intitulé;die Überschrift-en
imprimer;drucken
imprimante;der Drucker-
expression;der Ausdruck-″e
rester silencieux;schweigen (ie-ie)
note, pièce de papier;der Zettel-
appeler (donner un nom);nennen (a-a)
parler;sprechen (i-a-o)
certitude;die Sicherheit-en
renoncer;verzichten (auf+A)
droit à quelquechose, exigeance;der Anspruch-″e (auf+A)
demander, prier;bitten (a-e)
souligner (accentuer);betonen
convaincre (logiquement);überzeugen
convaincre, persuader (en parlant beaucoup);überreden
au contraire, plutôt;vielmehr
en tout cas;auf jeden Fall
de toute façon, de toute manière;ohnehin
analogie;die Analogie-n
avoir raison;recht haben
promettre;versprechen (i-a-o)
retour (=réponse);die Rückmeldung-en
dire;sagen
parler, converser;reden
influence, impact;der Einfluss-″e
avoir une conversation;besprechen (i-a-o)
discuter;besprechen (i-a-o)
prononciation;die Aussprache-n
signifier;bedeuten
exagérer (l'importance);übertreiben (ie-ie)
signification;die Bedeutung-en
clair, considérable;deutlich
offre (proposition);das Angebot-e
absolu;unbedingt
offrir, proposer;an-bieten (o-o)
d'ailleurs;übrigens
motiver;motivieren
plaire;gefallen (ä-ie-a)
mutuel;gegenseitig
répondre à (tr.);beantworten
discuter, conseiller;beraten (ä-ie-a)
exhorter, admonester;ermahnen (zu)
avertir;warnen (+A, vor)
s’excuser (de);sich entschuldigen (bei)
plutôt;eher
même, voire;sogar
option, possibilité;die Möglichkeit-en
choisir, opter;aus-wählen, wählen, aus-suchen
se décider;sich beschließen (o-o), sich entscheiden
décision;die Entscheidung-en
option;die Option-en
choix;die Wahl-en
choisir, sélectionner;wählen
proposer;vor-schlagen (ä-u-a)
proposition;der Vorschlag-″e
accepter;zu-stimmen (+D)
refuser;ab-lehnen
contre-proposition;der Gegenvorschlag-″e
convenir d'une activité/rdv;sich verabreden
se mettre d’accord;sich einigen
fixer, convenir;aus-machen
d'accord (adj.);einverstanden (mit)
considérer;überlegen
avoir envie;Lust haben (auf+A/zu)
envie (désir);die Lust-″e
plutôt (adv. opposition);lieber
convenir (être compatible);passen
aller bien, marcher;klappen
parfait;perfekt
à cause de moi;meinetwegen
demander (question);fragen (+A, +A, nach, zu)
répondre (intr.);antworten
réponse;die Antwort-en
mentir;lügen (o-o)
recommander;empfehlen (ie-a-o)
alléguer, formuler;vor-bringen (ach-ach)
faire pression;unter Druck setzen
exprimer;äußern
informer, rapporter;berichten
inciter, encourager, inspirer à;an-regen (+A, zu)
démontrer, prouver;beweisen (ie-ie)
faire confiance;vertrauen
se fier;sich verlassen (auf+A)
maintenir (que);behaupten
confier (secret);an-vertrauen (+A, +D)
communiquer (informer);mit-teilen
contredire;widersprechen (i-a-o)
nier ce qui a été dit par quelqu'un d'autre;leugnen
démentir officiellement;dementieren
supposer;an-nehmen (im-ah-om)
question;die Frage-n
se disputer;streiten (it-it)
se plaindre (auprès de qqun);sich beschweren
insister;beharren (auf+D)
confronter;gegenüber-stellen
raconter;erzählen
expliquer;erklären
répéter;wiederholen
traduire;übertragen (ä-u-a)
traduire;übersetzen
service, secteur tertiaire;die Dienstleistung-en
banque;die Bank-en
guichet;der Schalter-
police;die Polizei-en
commissariat;das Revier-e
mairie;das Rathaus-″er
administration;das Amt-″er
collecte des ordures;die Abfuhr-en
bibliothèque (service/lieu);die Bibliothek-en
éducation;die Erziehung-en
remarque;die Anmerkung-en
définir;definieren
élever (éduquer);erziehen (og-og)
s'exercer;üben
test, épeuvre, contrôle;die Prüfung-en
faire passer un test, épouvrer;prüfen
exercice;die Übung-en
formation (éducation);die Ausbildung-en zu
corriger (une erreur);korrigieren
apprendre;lernen
enseigner;lehren
enseignant;der Lehrer-, die Lehrerin-nen
garde d’enfant;die Kinderbetreuung-en
rater (exam);durch-fallen (bei/in+D) (ä-ie-a) (sein)
réussir (exam);bestehen (and-and) (haben)
école;die Schule-n
tableau (surface pour écrire);die Tafel-n
craie (pour écrire sur le tableau);die Kreide-n
université;die Universität-en
étudiant;der Student-en, die Studentin-nen
cours (ensemble d'heures);der Kurs-e
classe (groupe d'élèves);die Klasse-n
étudier;studieren
lycée, collège;das Gymnasium-/en
baccalauréat (équivalent);das Abitur-e
terminaison, en part. fin d’études;der Abschluss-″e
école professionnelle;die Berufsschule-n
prise en charge, soin;die Betreuung-en
éducateur;der Erzieher-, die Erzieherin-nen
école primaire, école élémentaire;die Grundschule-n
garderie, école maternelle;der Kindergarten-″
garderie, crèche;die Kita-s
note (d’examen);die Note-n
pause;die Pause-n
école secondaire;die Realschule-n
emploi du temps;der Stundenplan-″e
babysitter;der Tagesvater-″, die Tagesmutter-″
garderie, crèche;die Tagesstätte-n
leçon;der Unterricht-e
s’enroler;sich an-melden
être absent;fehlen
présent (présence);anwesend
attentif;aufmerksam
intelligent;schlau, intelligent
programme;das Programm-e
semestre;das Semester-
étude (le fait d'étudier, études supérieures);das Studium-/en
présenter, faire une présentation;präsentieren
solution (de problème);die Lösung-en
problème;das Problem-e
travail;die Arbeit-en
occupé (avec des activités);beschäftigt
être occupé (avec une tâche);sich beschäftigen (mit)
remplacer (quelqu'un au travail);vertreten (itt-a-e)
métier;der Beruf-e
emploi, poste;die Arbeitsstelle-n
participer;teil-nehmen (im-ah-om)
bureau;das Büro-s
contrat;der Vertrag-″e
faire, effectuer, fabriquer;machen
faire;tun (a-a)
créer;schaffen (u-a)
contrat de travail;der Arbeitsvertrag-″e
temps complet;die Vollzeit-en
temps partiel;die Teilzeit-en
à durée indéterminée, permanent;unbefristet
à durée déterminée;befristet
sans emploi;arbeitslos
se préparer;sich vor-bereiten
préparer;vor-bereiten
prêt (adj.);bereit
employeur;der Arbeitgeber-, die Arbeitgeberin-nen
employé, travailleur;der Arbeitnehmer-, die Arbeitnehmerin-nen
employé, agent;der Angestellter--, die Angestellte--
tâche (de travail);die Aufgabe-n
postuler;sich bewerben (bei, für) (i-a-o)
application (emploi);die Bewerbung-en
entreprise;das Unternehmen
patron;der Chef-s, die Chefin-nen
service (restaurant...);die Bedienung-en
expérience (professionnelle);die Erfahrung-en
firme;die Firma-/en
salaire;der Gehalt-e
commerce (entreprise commerciale);das Geschäft-e
interview;das Vorstellungsgespräch-e
job;der Job-s
stage (de fin d'étude);das Praktikum-/a
client;der Kunde-n, die Kundin-nen
indépendant (emploi), autonome;selbstständig
hopital;das Krankenhaus-″er
industrie;die Industrie-n
agriculture;die Landwirtschaft-en
ordinateur;der Computer
écran (de TV, d'ordinateur);der Bildschirm-e
clavier;die Tastatur-en
touche de clavier;die Taste-n
cahier;das Heft-e
travail à domicile;die Telearbeit-en
mine;die Grube-n
réunion;die Besprechung-en
site de production, entreprise;der Betrieb-e
fonctionnement, opération;der Betrieb-e
fin de journée (congé, fin de travail);der Feierabend-e
formation continue;die Fortbildung-en
syndicat (organisation);die Gewerkschaft-en
produire;erzeugen
ingénieur;der Ingenieur-e, die Ingenieurin-nen
collègue;der Kollege-n, die Kollegin-nen
prestation, performance;die Leistung-en
employé, collaborateur;der Mitarbeiter-, die Mitarbeiterin-nen
département des ressources humaines;die Personalabteilung-en
qualification;die Qualifikation-en
retraite (travail);die Rente-n
poste, durée de travail accomplie;die Schicht-en
poste de travail;die Stelle-n
heure supplémentaire;die Überstunde-n
